Número de extracción;Fecha;Hora;Presión agua intercambiador (psi);Nivel de kathene acondicionador (in);Presión atomización en acondicionador (psi);Presión atomización en regenerador (psi);Caida de presión en filtros cambridge (in H2O);Caida de presión en acodicionador (in H2O);Caida de presión en regenerador (in H2O);Temperatura aire A (°C);Temperatura aire B (°C);Temperatura aire C (°C)
037;2019-02-11;3:00;4;11,8;4,5;0,2;0,28;1,90;0,50;36,8;36,1;49,0
037;2019-02-11;7:00;3;11,9;4,5;0,2;0,26;1,90;0,50;36,7;35,6;48,4
038;2019-02-11;17:00;3;12,0;4,4;0,2;0,28;1,90;0,50;39,9;39,4;51,2
038;2019-02-11;20:00;5;12,1;4,5;0,2;0,28;1,90;0,50;38,5;37,5;50,5
038;2019-02-12;23:00;6;11,8;4,5;0,2;0,28;1,90;0,50;38,1;37,2;50,3
038;2019-02-12;7:00;4;11,6;4,4;0,2;0,28;2,00;0,50;37,4;36,5;49,7
038;2019-02-12;11:00;3;12,1;4,5;0,2;0,28;1,90;0,50;38,9;38,2;51,3
039;2019-02-12;17:00;7;13,5;4,5;0,2;0,29;1,90;0,50;38,6;33,0;49,0
039;2019-02-12;20:00;5;11,6;4,5;0,2;0,29;1,90;0,50;37,6;37,4;51,0
039;2019-02-13;23:00;5;11,7;4,5;0,2;0,28;1,90;0,50;37,5;37,2;50,8
039;2019-02-13;4:00;4;11,4;4,4;0,2;0,28;1,90;0,40;37,3;36,2;49,5
039;2019-02-13;7:00;5;12,2;4,4;0,2;0,28;1,90;0,70;36,5;35,5;48,3
039;2019-02-13;15:00;5;12,0;4,4;0,2;0,28;1,90;0,70;38,2;38,0;50,7
040;2019-02-13;19:00;5;11,2;4,4;0,2;0,28;1,90;0,60;40,1;39,4;51,4
040;2019-02-14;0:00;0;11,6;4,4;0,2;0,28;1,90;0,50;37,6;36,7;49,8
040;2019-02-14;7:00;0;13,5;4,4;0,2;0,29;1,80;0,50;36,0;35,0;49,5
040;2019-02-14;12:00;0;12,5;4,5;0,2;0,30;1,80;0,50;37,8;38,0;51,0
040;2019-02-14;15:00;4;12,0;4,4;0,2;0,28;1,90;0,50;38,8;38,5;51,2
041;2019-02-14;20:00;4;11,8;4,4;0,2;0,28;1,90;0,50;38,4;38,0;50,6
041;2019-02-15;0:00;10;12,5;4,4;0,2;0,29;1,80;0,50;37,0;36,0;49,0
041;2019-02-15;4:00;8;12,0;4,4;0,2;0,30;1,90;0,50;36,9;35,9;50,0
041;2019-02-15;7:00;4;11,9;4,4;0,2;0,28;1,90;0,60;35,5;34,6;47,3
041;2019-02-15;11:00;4;12,4;4,4;0,2;0,28;1,90;0,60;39,2;38,8;51,2
041;2019-02-15;16:30;6;12,5;4,5;0,2;0,28;1,90;0,70;39,9;39,3;50,8
041;2019-02-15;21:00;5;12,0;4,5;0,2;0,28;1,90;0,50;38,0;37,0;49,8
042;2019-02-16;0:00;9;11,0;4,5;0,2;0,29;1,90;0,50;36,8;37,0;51,0
042;2019-02-16;5:00;5;12,0;4,5;0,2;0,29;1,90;0,50;37,0;37,2;51,0
042;2019-02-16;7:00;6;12,1;4,4;0,2;0,28;1,90;0,60;36,4;35,4;48,2
042;2019-02-16;11:00;4;11,8;4,4;0,2;0,28;1,90;0,60;39,3;38,9;51,2
042;2019-02-16;15:00;4;12,0;4,5;0,2;0,29;1,90;0,50;39,5;38,3;51,6
042;2019-02-16;19:00;5;11,7;4,5;0,2;0,29;1,90;0,50;39,0;38,5;50,2
042;2019-02-16;23:00;4;12,1;4,3;0,2;0,28;1,90;0,60;36,9;35,8;49,0
043;2019-02-17;7:00;5;11,5;4,2;0,2;0,28;1,90;0,50;36,8;35,7;48,8
043;2019-02-17;12:00;4;12,4;4,2;0,2;0,28;1,90;0,60;38,9;37,9;50,5
043;2019-02-17;16:00;0;11,9;4,3;0,2;0,30;1,90;0,50;38,3;37,3;50,3
043;2019-02-17;20:00;8;12,3;4,3;0,2;0,30;1,90;0,50;38,1;37,2;49,7
043;2019-02-17;23:00;4;12.5;4,3;0,2;0,28;1,90;0,50;37,4;36,4;49,0
043;2019-02-18;3:00;4;12,1;4,3;0,2;0,28;1,90;0,50;37,0;35,9;48,8
044;2019-02-18;16:00;1;11,7;4,3;0,2;0,30;1,90;0,50;39,0;38,3;51,2
044;2019-02-18;20:00;5;12,4;4,3;0,2;0,30;1,90;0,50;38,3;37,2;49,9
044;2019-02-18;23:00;4;12,6;4,3;0,2;0,28;1,90;0,50;37,9;36,9;49,8
044;2019-02-19;3:00;4;11,8;4,3;0,2;0,28;1,90;0,60;37,7;36,9;49,3
045;2019-02-19;15:00;8;12,0;4,4;0,2;0,30;1,90;0,50;37,0;38,0;50,0
045;2019-02-19;20:00;8;11,5;4,4;0,2;0,29;1,89;0,50;37,5;37,0;51,0
045;2019-02-19;23:00;6;12,9;4,2;0,2;0,28;1,90;0,50;36,4;35,5;48,3
045;2019-02-20;5:00;5;12,6;4,2;0,2;0,28;1,90;0,50;36,6;35,8;48,7
045;2019-02-20;10:00;1;12,1;4,3;0,2;0,30;1,90;0,50;38,2;37,6;50,6
045;2019-02-20;13:00;5;12,2;4,3;0,2;0,30;1,90;0,50;37,8;36,8;49,5
046;2019-02-20;16:00;8;12,0;4,4;0,2;0,30;1,90;0,50;37,0;37,0;51,0
046;2019-02-20;21:00;6;12,1;4,4;0,2;0,30;1,90;0,50;36,8;37,0;51,0
046;2019-02-20;23:00;5;11,9;4,5;0,2;0,30;1,90;0,40;37,4;36,6;49,5
046;2019-02-20;3:00;5;11,7;4,5;0,2;0,30;1,90;0,50;38,5;38,3;50,5
046;2019-02-21;8:00;8;12,0;4,5;0,2;0,30;1,90;0,50;37,5;37,0;51,0
046;2019-02-21;12:00;8;12,0;4,5;0,2;0,30;1,90;0,50;36,9;37,0;50,0
046;2019-02-21;17:00;6;11,8;4,5;0,2;0,28;1,90;0,60;38,2;37,7;51,2
047;2019-02-21;0:00;0;12,2;4,4;0,2;0,30;1,90;0,50;36,8;35,8;48,7
047;2019-02-22;4:00;1;11,2;4,4;0,2;0,30;1,90;0,50;36,7;35,7;49,0
047;2019-02-22;8:00;8;11,5;4,5;0,2;0,30;1,90;0,50;37,0;37,0;51,0
047;2019-02-22;12:00;6;12,2;4,5;0,2;0,30;1,90;0,50;36,5;37,0;51,0
047;2019-02-22;15:30;5;12,1;4,3;0,2;0,27;1,90;0,50;39,2;35,5;51,4
048;2019-02-23;0:00;0;12,0;4,5;0,2;0,30;1,90;0,50;37,8;37,0;51,0
048;2019-02-23;5:00;0;11,0;4,5;0,2;0,30;1,90;0,50;38,0;36,0;51,0
048;2019-02-23;7:00;4;11,9;4,3;0,2;0,28;1,90;0,50;36,9;36,3;49,0
048;2019-02-23;11:00;4;12,2;4,3;0,2;0,28;1,90;0,50;37,7;37,1;50,8
049;2019-02-24;7:00;5;12,5;4,3;0,2;0,28;1,90;0,50;36,6;35,7;48,5
049;2019-02-24;11:00;4;11,8;4,3;0,2;0,28;1,90;0,50;37,0;36,2;49,2
049;2019-02-24;18:00;0;12,5;4,3;0,2;0,30;1,90;0,60;37,4;36,9;49,7
049;2019-02-24;21:00;0;12,8;4,3;0,2;0,30;1,60;0,90;37,0;36,0;49,3
049;2019-02-24;0:00;4;12,6;4,5;0,2;0,30;1,90;0,60;37,0;36,0;49,9
049;2019-02-25;5:00;4;12,0;4,5;0,2;0,30;1,90;0,50;36,0;37,0;48,0
049;2019-02-25;7:00;5;12,5;4,3;0,2;0,28;1,90;0,50;36,2;35,8;48,3
050;2019-02-25;17:00;5;12,6;4,5;0,2;0,28;1,80;0,50;38,6;38,0;50,9
050;2019-02-25;23:00;6;12,0;4,3;0,2;0,28;1,80;0,50;37,4;36,7;49,7
050;2019-02-26;3:00;4;12,3;4,3;0,2;0,28;1,80;0,60;36,9;35,9;49,0
050;2019-02-26;7:00;5;12,9;4,5;0,2;0,28;1,80;0,50;37,1;36,2;49,4
051;2019-02-26;19:00;0;12,0;4,3;0,2;0,28;1,90;0,50;37,3;36,6;50,1
051;2019-02-26;23:00;2;12,2;4,3;0,2;0,28;1,90;0,50;37,1;36,5;49,8
051;2019-02-27;3:00;0;12,4;4,3;0,2;0,28;1,90;0,50;36,9;36,2;49,3
051;2019-02-27;7:00;2;11,6;4,3;0,2;0,28;1,90;0,40;37,2;36,1;49,2
051;2019-02-27;12:00;6;11,6;4,5;0,2;0,28;1,90;0,50;37,8;37,1;50,2
051;2019-02-27;15:00;8;13,0;4,5;0,2;0,25;1,90;0,50;37,6;36,0;49,8
052;2019-02-27;23:00;5;11,8;4,3;0,2;0,26;1,90;0,50;37,5;36,7;49,8
052;2019-02-28;4:00;6;12,0;4,5;0,2;0,26;1,90;0,50;36,9;36,0;49,7
052;2019-02-28;7:00;4;12,0;4,5;0,2;0,28;1,90;0,70;36,0;35,2;48,4
052;2019-02-28;11:00;1;12,5;4,5;0,2;0,28;1,90;0,50;38,1;37,4;50,3
053;2019-03-01;4:00;4;12,0;4,5;0,2;0,28;1,90;0,50;36,4;35,6;48,8
053;2019-03-01;7:00;8;12,1;4,5;0,2;0,28;1,90;0,50;36,5;35,7;49,0
053;2019-03-01;11:00;7;12,5;4,5;0,2;0,27;1,90;0,40;37,5;37,0;50,5
053;2019-03-01;15:00;4;11,6;4,5;0,2;0,27;1,90;0,50;38,9;38,8;51,6
053;2019-03-01;19:00;4;12,2;4,5;0,2;0,27;1,90;0,50;37,7;37,2;50,7
054;2019-03-02;7:00;6;12,5;4,5;0,2;0,30;1,90;0,50;37,0;36,8;50,5
054;2019-03-02;12:00;10;12,0;4,5;0,2;0,30;1,90;0,40;36,7;38,0;51,0
054;2019-03-02;15:00;4;12,1;4,5;0,2;0,28;1,90;0,50;37,8;37,3;51,2
054;2019-03-02;19:00;4;11,6;4,5;0,2;0,28;1,90;0,50;37,2;36,8;50,9
054;2019-03-02;23:00;3;12,1;4,5;0,2;0,28;1,90;0,50;36,2;35,7;50,0
055;2019-03-03;9:00;5;12,3;4,5;0,2;0,28;1,90;0,50;36,9;36,5;50,7
055;2019-03-03;12:00;4;12,0;4,5;0,2;0,28;1,90;0,50;37,5;37,4;50,9
055;2019-03-03;16:00;6;12,2;4,3;0,2;0,26;1,90;0,50;36,7;36,3;50,0
055;2019-03-03;21:00;0;11,8;4,3;0,2;0,26;1,90;0,40;36,3;35,4;50,0
055;2019-03-04;0:00;1;11,9;4,5;0,2;0,28;1,90;0,50;36,0;35,3;50,0
055;2019-03-04;4:00;3;11,3;4,4;0,2;0,28;1,90;0,50;35,6;35,0;49,4
055;2019-03-04;7:00;2;12,5;4,4;0,2;0,28;1,90;0,50;34,9;34,5;48,5
056;2019-03-04;15:00;2;12,0;4,2;0,2;0,26;1,80;0,50;38,7;38,9;51,6
056;2019-03-04;21:00;4;13,0;4,2;0,2;0,26;1,80;0,40;37,1;36,7;50,9
056;2019-03-04;0:00;8;12,0;4,2;0,2;0,25;1,80;0,40;36,7;37,0;50,0
056;2019-03-04;5:00;6;12,0;4,2;0,2;0,25;1,90;0,50;37,0;36,0;51,0
056;2019-03-05;7:00;5;12,7;4,2;0,2;0,27;1,90;0,50;36,2;35,7;49,5
056;2019-03-05;11:00;4;11,8;4,4;0,2;0,27;1,90;0,50;37,5;37,2;51,0
057;2019-03-05;21:00;9;11,9;4,3;0,2;0,26;1,90;0,50;36,9;36,5;50,1
057;2019-03-05;23:00;6;12,9;4,3;0,2;0,28;1,90;0,50;36,3;36,2;49,4
057;2019-03-06;3:00;4;12,1;4,5;0,2;0,28;1,90;0,50;36,5;36,1;50,1
057;2019-03-06;6:30;6;12,7;4,5;0,2;0,28;1,90;0,50;35,8;35,2;49,3
057;2019-03-06;13:00;0;12,0;4,3;0,2;0,26;1,90;0,50;38,7;38,9;51,6
057;2019-03-06;15:00;6;11,9;4,5;0,2;0,28;1,90;0,50;38,5;38,7;51,6
058;2019-03-06;23:00;4;11,6;4,5;0,2;0,28;1,90;0,50;37,3;37,2;49,7
058;2019-03-07;3:00;4;12,4;4,5;0,2;0,28;1,90;0,70;36,6;36,4;50,0
058;2019-03-07;7:30;5;12,0;4,5;0,1;0,28;1,90;0,60;37,6;37,4;51,0
058;2019-03-07;15:00;6;11,9;4,4;0,2;0,28;1,90;0,50;37,8;38,1;50,9
059;2019-03-08;0:00;5;12,1;4,2;0,2;0,26;1,90;0,50;36,9;37,1;49,2
059;2019-03-08;5:00;4;12,2;4,2;0,2;0,26;1,90;0,40;36,4;36,7;48,9
059;2019-03-08;8:00;5;11,9;4,5;0,2;0,28;1,90;0,50;37,2;37,8;49,8
059;2019-03-08;12:00;7;11,6;4,4;0,2;0,28;1,90;0,50;38,5;39,1;51,5
059;2019-03-08;15:00;8;12,2;4,5;0,2;0,25;1,90;0,50;36,7;37,0;49,8
059;2019-03-08;20:00;10;12,0;4,4;0,2;0,25;1,90;0,50;37,0;36,5;51,0
060;2019-03-09;4:00;0;12,8;4,3;0,2;0,26;1,80;0,80;36,3;36,6;49,4
060;2019-03-09;7:00;4;11,9;4,5;0,2;0,28;1,90;0,40;36,7;37,0;50,0
060;2019-03-09;11:00;8;12,1;4,5;0,2;0,28;1,90;0,50;38,2;38,8;51,5
060;2019-03-09;15:00;5;12,8;4,3;0,2;0,28;1,90;0,50;38,4;38,5;51,2
060;2019-03-09;19:00;4;12,4;4,3;0,2;0,28;1,90;0,50;38,5;38,7;51,6
061;2019-03-10;8:00;8;12,0;4,5;0,2;0,29;1,90;0,50;37,0;37,5;50,0
061;2019-03-10;12:00;10;12,2;4,4;0,2;0,25;1,90;0,50;36,0;36,0;51,0
061;2019-03-10;14:15;8;12,0;4,3;0,2;0,28;1,90;0,50;38,3;38,6;51,3
062;2019-03-13;0:00;8;12,6;4,5;0,2;0,25;1,90;0,40;36,7;37,0;51,0
062;2019-03-13;5:00;8;12,0;4,5;0,2;0,28;1,90;0,40;37,0;35,9;51,0
062;2019-03-13;7:00;8;11,6;4,5;0,2;0,26;1,90;0,50;36,3;35,6;51,3
062;2019-03-13;11:00;8;12,2;4,5;0,2;0,28;1,90;0,60;36,2;35,3;51,1
062;2019-03-13;23:00;6;12,0;4,7;0,2;0,28;1,90;0,60;36,0;35,3;50,1
062;2019-03-14;3:00;6;11,7;4,7;0,2;0,28;1,90;0,50;36,0;35,6;48,9
063;2019-03-14;10:00;2;12,4;5,0;0,2;0,28;1,90;0,50;36,5;37,5;50,1
063;2019-03-14;13:00;6;11,8;5,0;0,2;0,28;1,90;0,50;36,2;36,6;49,8
063;2019-03-14;16:00;4;12,2;4,5;0,2;0,29;1,90;0,60;35,9;36,3;49,5
063;2019-03-14;20:00;0;12,1;5,0;0,2;0,28;1,90;0,50;36,2;36,5;49,8
063;2019-03-14;23:00;6;11,9;4,6;0,2;0,28;1,90;0,60;35,2;35,6;48,6
063;2019-03-15;3:00;5;11,7;4,6;0,2;0,28;1,90;0,60;35,0;35,6;48,7
064;2019-03-15;16:00;8;11,9;4,5;0,2;0,28;1,90;0,50;37,7;38,3;51,1
064;2019-03-15;20:00;4;12,5;4,5;0,2;0,28;1,90;0,40;36,0;36,5;49,7
064;2019-03-16;1:00;6;12,7;4,3;0,2;0,27;1,90;0,60;36,0;36,4;49,5
064;2019-03-16;4:00;5;13,0;4,3;0,2;0,26;1,90;0,60;35,5;35,9;49,0
064;2019-03-16;8:00;1;12,3;4,5;0,2;0,28;1,90;0,50;35,7;36,2;49,4
065;2019-03-17;0:00;6;11,8;4,3;0,2;0,29;1,90;0,60;36,2;36,8;49,8
065;2019-03-17;5:00;6;12,6;4,5;0,2;0,29;1,90;0,50;35,1;35,6;48,9
065;2019-03-17;8:00;7;12,2;4,6;0,2;0,29;1,90;0,50;36,2;36,9;49,7
065;2019-03-17;12:00;2;12,5;4,5;0,2;0,29;1,90;0,50;37,4;38,1;50,8
065;2019-03-17;15:00;4;12,0;4,6;0,2;0,28;1,80;0,50;38,1;38,6;51,2
066;2019-03-17;20:00;6;11,8;4,6;0,2;0,28;1,90;0,50;37,7;38,2;51,0
066;2019-03-18;1:00;0;12,0;4,5;0,2;0,29;1,90;0,50;36,9;37,4;50,3
066;2019-03-18;7:00;7;11,9;4,5;0,2;0,30;1,90;0,50;36,0;36,6;49,9
066;2019-03-18;11:00;3;12,8;4,5;0,2;0,29;1,90;0,50;36,2;36,9;50,1
066;2019-03-18;15:00;4;12,6;4,6;0,2;0,28;1,80;0,60;36,0;36,7;49,8
067;2019-03-18;21:00;6;11,9;4,6;0,2;0,28;1,90;0,60;35,8;36,3;49,6
067;2019-03-19;0:00;3;11,7;4,6;0,2;0,30;1,90;0,50;35,7;36,3;49,4
067;2019-03-19;5:00;1;12,5;4,5;0,2;0,29;1,90;0,50;34,7;35,5;48,5
067;2019-03-19;9:00;6;12,3;4,5;0,2;0,30;1,90;0,50;36,5;34,9;48,5
067;2019-03-19;12:00;5;12,1;4,5;0,2;0,30;1,90;0,50;37,0;36,0;49,0
068;2019-03-20;1:00;4;11,9;4,5;0,2;0,28;1,90;0,50;36,1;36,5;49,8
068;2019-03-20;5:00;10;12,9;4,5;0,2;0,28;1,90;0,50;35,8;36,7;49,5
068;2019-03-20;7:00;6;12,0;4,6;0,2;0,28;1,80;0,60;35,4;36,4;48,6
068;2019-03-20;11:00;7;12,3;4,6;0,2;0,28;1,80;0,50;36,2;37,3;49,5
068;2019-03-20;17:00;4;12,1;4,6;0,2;0,29;1,90;0,30;36,7;37,3;50,7
068;2019-03-20;20:00;5;11,8;4,6;0,2;0,29;1,90;0,50;36,4;37,0;50,6
068;2019-03-20;23:00;8;12,1;4,5;0,2;0,30;1,80;0,50;37,0;36,8;50,5
069;2019-03-21;7:00;5;12,0;4,6;0,2;0,28;1,80;0,50;35,7;36,3;49,4
069;2019-03-21;11:00;4;12,2;4,6;0,2;0,28;1,80;0,50;36,1;36,9;50,1
069;2019-03-21;19:00;2;12,6;4,5;0,2;0,28;1,90;0,50;36,6;37,1;50,5
069;2019-03-21;23:00;4;12,8;4,6;0,2;0,28;1,90;0,50;35,8;36,4;49,8
069;2019-03-21;2:30;5;11,9;4,5;0,2;0,28;1,80;0,50;35,7;36,4;49,1
070;2019-03-22;10:00;6;12,3;4,3;0,2;0,27;1,80;0,50;36,7;37,6;50,0
070;2019-03-22;20:00;13;11,8;4,4;0,1;0,29;1,90;0,50;35,8;36,5;49,4
070;2019-03-22;23:00;10;12,5;4,5;0,2;0,28;1,80;0,50;35,5;36,2;49,0
070;2019-03-23;3:00;6;12,0;4,5;0,2;0,28;1,80;0,50;35,3;35,9;48,7
071;2019-03-23;16:00;6;12,8;4,4;0,2;0,28;1,90;0,50;37,7;38,4;50,9
071;2019-03-23;20:00;13;12,0;4,5;0,2;0,29;1,90;0,50;36,7;37,4;50,0
071;2019-03-23;0:00;8;12,4;4,6;0,2;0,29;1,90;0,80;35,7;36,4;49,4
071;2019-03-23;4:00;6;11,7;4,5;0,2;0,28;1,90;0,50;35,8;36,6;49,3
071;2019-03-24;9:00;10;12,0;4,5;0,2;0,29;1,90;0,50;36,4;37,3;50,1
071;2019-03-24;14:00;8;12,4;4,5;0,2;0,30;1,90;0,40;35,6;36,0;49,5
072;2019-03-24;18:00;10;12,6;4,5;0,2;0,30;1,90;0,50;36,0;37,0;49,5
072;2019-03-24;21:00;8;12,0;4,5;0,2;0,30;1,80;0,50;35,6;37,6;50,0
072;2019-03-25;4:00;3;11,9;4,3;0,2;0,28;1,90;0,50;34,9;35,7;48,7
072;2019-03-25;8:00;5;12,7;4,4;0,2;0,29;1,80;0,70;34,6;35,4;48,4
073;2019-03-25;20:00;8;12,0;4,5;0,2;0,30;1,90;0,50;36,8;37,0;50,0
073;2019-03-26;0:00;6;12,5;4,5;0,2;0,50;1,90;0,50;35,1;36,4;49,0
073;2019-03-26;4:00;8;12,3;4,5;0,2;0,50;1,90;0,50;35,5;36,5;49,5
073;2019-03-26;8:00;12;12,3;4,5;0,2;0,29;1,90;0,50;35,2;35,8;49,5
073;2019-03-26;12:00;4;11,6;4,6;0,2;0,29;1,90;0,50;36,7;37,2;51,1
073;2019-03-26;15:00;4;12,4;4,6;0,2;0,28;1,80;0,50;37,3;38,0;51,4
074;2019-03-26;21:00;6;11,9;4,6;0,2;0,28;1,80;0,50;37,0;37,5;50,6
074;2019-03-27;8:00;8;12,5;4,5;0,2;0,30;1,80;0,50;36,8;37,0;51,0
074;2019-03-27;12:00;10;12,5;4,5;0,2;0,30;1,80;0,50;37,0;36,5;50,0
074;2019-03-27;15:00;8;12,1;4,6;0,2;0,28;1,80;0,50;37,3;38,1;51,4
074;2019-03-27;19:00;6;11,9;4,6;0,2;0,28;1,80;0,50;36,9;37,5;50,6
075;2019-03-28;2:00;6;12,1;4,5;0,2;0,29;1,90;0,50;35,6;35,9;49,8
075;2019-03-28;5:00;6;12,1;4,6;0,2;0,29;1,80;0,50;35,5;36,0;50,1
075;2019-03-28;6:30;4;11,8;4,6;0,2;0,28;1,80;0,50;35,4;35,8;49,6
075;2019-03-28;11:00;8;12,2;4,5;0,2;0,28;1,80;0,50;36,6;37,2;50,8
075;2019-03-28;15:00;6;13,0;4,3;0,2;0,28;1,80;0,50;37,1;37,6;51,2
075;2019-03-28;19:00;3;11,5;4,6;0,2;0,28;1,90;0,50;36,1;36,8;51,1
076;2019-03-28;0:00;8;12,0;4,5;0,2;0,30;1,90;0,50;37,0;38,5;50,1
076;2019-03-28;5:00;6;12,6;4,5;0,2;0,30;1,80;0,50;36,5;37,0;50,0
076;2019-03-29;7:00;4;11,6;4,5;0,2;0,28;1,90;0,50;35,2;35,8;49,5
076;2019-03-29;11:00;6;12,0;4,5;0,2;0,28;1,80;0,50;36,0;36,5;50,1
076;2019-03-29;18:00;5;12,2;4,6;0,2;0,29;1,90;0,50;36,2;37,1;50,1
076;2019-03-29;20:00;4;12,5;4,7;0,2;0,29;1,90;0,50;35,2;35,8;49,7
076;2019-03-29;23:00;6;12,1;4,6;0,2;0,28;1,90;0,50;35,0;35,5;49,5
077;2019-03-30;5:00;8;12,4;4,6;0,2;0,28;1,90;0,50;34,2;35,0;48,6
077;2019-03-30;8:00;8;12,0;4,5;0,2;0,29;1,90;0,50;34,8;35,4;49,6
077;2019-03-30;11:00;6;12,6;4,6;0,2;0,29;1,90;0,50;37,5;38,4;51,6
077;2019-03-30;15:00;10;11,4;4,5;0,2;0,28;1,90;0,50;36,4;37,2;51,0
077;2019-03-30;23:00;5;12,2;4,5;0,2;0,28;1,80;0,50;35,3;36,0;49,7
077;2019-03-31;3:00;7;11,8;4,5;0,2;0,28;1,80;0,50;34,5;35,1;49,0
078;2019-03-31;9:00;3;27,0;11,8;0,2;0,29;1,90;0,50;37,1;37,9;51,6
078;2019-03-31;11:00;5;11,8;12,0;0,2;0,29;1,90;0,50;35,5;36,4;50,5
078;2019-03-31;16:00;7;11,8;4,5;0,2;0,28;1,90;0,50;36,2;37,0;51,2
078;2019-03-31;19:00;8;12,1;4,6;0,3;0,20;1,90;0,50;35,9;36,6;51,0
078;2019-03-31;23:00;8;11,9;4,6;0,2;0,28;1,90;0,50;35,6;36,1;50,3
078;2019-04-01;3:00;6;12.4;4,5;0,2;0,28;1,80;0,50;34,2;34,8;48,8
079;2019-04-01;12:00;6;12,0;4,6;0,2;0,29;1,90;0,50;35,5;36,5;50,7
079;2019-04-01;17:00;9;12,2;4,4;0,2;0,30;1,90;0,50;36,1;36,8;50,9
079;2019-04-01;0:00;3;11,6;4,5;0,2;0,29;1,90;0,50;34,8;35,6;49,9
080;2019-04-02;11:00;8;12,2;4,4;0,3;0,20;1,80;0,50;35,7;36,4;49,7
080;2019-04-02;15:00;8;12,5;4,5;0,2;0,30;1,90;0,50;36,5;34,9;50,0
080;2019-04-02;20:00;6;12,0;4,5;0,2;0,30;1,90;0,50;34,0;35,0;50,0
080;2019-04-03;0:00;5;11,8;4,5;0,2;0,28;1,90;0,50;34,8;35,5;49,6
081;2019-04-03;9:20;8;12,1;4,5;0,2;0,29;1,90;0,50;34,6;35,0;50,0
081;2019-04-03;15:00;8;12,4;4,5;0,2;0,28;1,90;0,50;36,0;36,9;50,7
081;2019-04-03;19:00;6;12,2;4,5;0,2;0,29;1,90;0,50;35,3;36,0;50,1
081;2019-04-03;0:00;4;11,6;4,5;0,2;0,30;1,90;0,50;35,3;35,9;50,6
081;2019-04-03;4:00;3;12,2;4,5;0,2;0,30;1,90;0,40;34,4;35,0;49,2
082;2019-04-04;13:00;8;12,0;4,5;0,2;0,30;1,90;0,40;36,5;37,0;51,0
082;2019-04-04;15:00;8;11,6;4,5;0,2;0,20;1,90;0,50;36,1;37,3;50,8
082;2019-04-04;19:00;5;11,8;4,5;0,2;0,22;1,90;0,50;35,6;36,5;50,7
082;2019-04-05;0:00;8;11,0;4,5;0,2;0,28;2,00;0,60;35,2;36,1;50,2
082;2019-04-05;4:00;11;11,7;4,6;0,2;0,20;2,00;0,60;34,7;35,7;49,9
082;2019-04-05;7:00;4;13,0;4,0;0,2;0,20;1,90;0,60;34,3;35,2;49,5
082;2019-04-05;10:00;4;12,8;4,0;0,2;0,20;2,00;0,60;35,1;36,2;50,1
083;2019-04-05;15:00;8;12,0;4,5;0,2;0,22;1,90;0,50;36,3;37,3;50,7
083;2019-04-05;19:00;6;12,4;4,5;0,2;0,20;1,90;0,50;35,3;36,4;50,3
083;2019-04-05;0:00;10;12,0;4,5;0,2;0,20;1,90;0,50;36,4;34,9;51,0
083;2019-04-06;5:00;8;12,0;4,5;0,2;0,20;1,80;0,60;34,6;35,0;49,0
083;2019-04-06;7:00;4;12,3;4,5;0,2;0,20;1,90;0,50;34,5;35,2;49,3
084;2019-04-06;13:00;4;11,7;4,5;0,2;0,20;1,90;0,60;37,6;38,5;51,6
084;2019-04-06;15:00;4;12,0;4,5;0,2;0,20;1,90;0,50;35,9;36,6;50,6
084;2019-04-06;23:00;6;12,3;4,5;0,2;0,20;1,90;0,60;35,6;36,2;50,1
084;2019-04-07;3:00;7;12,1;4,5;0,2;0,20;1,90;0,50;33,8;34,4;49,0
084;2019-04-07;7:00;4;11,6;4,5;0,2;0,20;1,90;0,60;34,9;35,6;49,6
085;2019-04-07;16:00;7;12,2;4,6;0,2;0,20;1,90;0,60;35,8;36,3;50,3
085;2019-04-07;20:00;3;11,9;4,6;0,2;0,20;2,00;0,60;35,5;36,2;50,7
085;2019-04-07;23:00;4;11,8;4,5;0,2;0,20;1,90;0,60;35,2;35,6;49,6
085;2019-04-08;3:00;6;12,0;4,5;0,2;0,20;1,90;0,60;34,5;35,1;49,3
085;2019-04-08;7:00;5;118,0;4,5;0,2;0,20;1,90;0,60;34,2;34,7;49,2
086;2019-04-08;20:00;5;11,5;4,4;0,2;0,20;1,90;0,60;35,3;35,8;50,4
086;2019-04-08;23:00;4;12,4;4,5;0,2;0,22;1,90;0,60;34,8;35,4;49,5
086;2019-04-09;3:00;6;11,9;4,5;0,2;0,22;1,90;0,60;34,1;34,9;48,8
087;2019-04-09;20:00;8;12,1;4,6;0,2;0,20;2,00;0,60;35,4;36,0;48,0
087;2019-04-09;23:00;8;12,0;4,6;0,2;0,22;2,00;0,50;35,6;37,8;46,5
087;2019-01-10;7:00;12;12,1;4,5;0,2;0,20;2,00;0,50;34,5;35,1;47,2
088;2019-04-11;23:00;13;11,8;4,5;0,2;0,20;1,90;0,60;34,8;35,6;47,2
088;2019-04-11;7:00;11;11,6;4,6;0,2;0,20;2,00;0,60;34,2;35,0;47,0
088;2019-04-11;11:00;9;11,9;4,5;0,2;0,21;1,90;0,60;36,8;37,9;49,4
088;2019-04-11;15:00;7;12,2;4,5;0,2;0,22;1,90;0,60;37,1;38,0;50,3
089;2019-04-11;20:00;5;11,8;4,5;0,2;0,22;1,90;0,60;36,2;37,1;49,9
