Número de extracción;Fecha;Numero de compresor en servicio;Presión de succión (kg/cm2);Temperatura de succión (°C);Presión de descarga (kg/cm2);Temperatura de descarga (°C);Presión de aceite (kg/cm2);Presión en tanque recibidor (MPa);Presión de acumulador (MPa);Presión en camisa de votator A (kg/cm2);Presión en camisa de votator B (kg/cm2);Presión en camisa de votator C (MPa);Posición bomba triplex 1 (osc/min);Posición bomba triplex 2 (osc/min);Posición bomba triplex 3 (osc/min)
157;7/8/2020 4:01:11 PM;2;2,4;4;10,9;74;5,4;1,1;0,25;0,3;0,3;Sin medicion;30;30;Sin medicion
157;7/8/2020 4:01:11 PM;4;2,3;Sin medicion;11;Sin medicion;5;1;0,25;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
157;7/9/2020 6:30:00 AM;2;2,5;8;10;57;5,4;10,2;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
157;7/9/2020 6:30:00 AM;4;1,9;Sin medicion;10,2;Sin medicion;4,9;0,95;2;Sin medicion;Sin medicion;3,4;Sin medicion;Sin medicion;Sin medicion
157;7/9/2020 1:30:00 PM;2;2,4;9;10,2;60;5,2;10,2;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
157;7/9/2020 1:30:00 PM;4;2;Sin medicion;10,8;Sin medicion;5;1,02;2;Sin medicion;Sin medicion;3,4;Sin medicion;Sin medicion;Sin medicion
157;7/9/2020 8:46:12 PM;2;2,5;7;10,9;76;5,5;1,2;0,23;0,3;0,3;Sin medicion;30;30;Sin medicion
157;7/9/2020 8:46:12 PM;4;2,3;Sin medicion;11;Sin medicion;5;0,98;0,25;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
157;7/10/2020 2:33:29 AM;2;2,5;4;10,5;60;5,3;1,1;0,25;0,3;0,3;Sin medicion;30;30;Sin medicion
157;7/10/2020 2:33:29 AM;4;2,3;Sin medicion;11;Sin medicion;5;1;0,26;Sin medicion;Sin medicion;0,32;Sin medicion;Sin medicion;31
157;7/10/2020 7:00:00 AM;1;2,6;8;10;60;5,4;10,2;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
157;7/10/2020 7:00:00 AM;4;1,7;Sin medicion;10;Sin medicion;4,7;0,93;1,7;Sin medicion;Sin medicion;3,4;Sin medicion;Sin medicion;Sin medicion
157;7/10/2020 6:24:16 PM;2;2,4;4;10,5;65;5,3;1,2;0,25;0,31;0,31;Sin medicion;30;30;Sin medicion
157;7/10/2020 6:24:16 PM;4;2,1;Sin medicion;11;Sin medicion;5;0,99;0,23;Sin medicion;Sin medicion;0,32;Sin medicion;Sin medicion;31
158;7/11/2020 12:00:00 PM;2;2,5;8;10;60;5,1;1;0,23;2,8;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
158;7/11/2020 12:00:00 PM;4;1,8;Sin medicion;10;Sin medicion;5;0,96;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
158;7/11/2020 6:30:00 PM;2;2,5;7;10;59;5,2;10;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
158;7/11/2020 6:30:00 PM;4;1,8;Sin medicion;10,3;Sin medicion;4,8;0,97;1,9;Sin medicion;Sin medicion;3,4;Sin medicion;Sin medicion;Sin medicion
158;7/12/2020 1:00:00 AM;2;2,6;6;10;58;5,4;10;2,5;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
158;7/12/2020 1:00:00 AM;4;1,8;Sin medicion;10;Sin medicion;4,8;0,94;1,8;Sin medicion;Sin medicion;3,4;Sin medicion;Sin medicion;Sin medicion
158;7/12/2020 7:00:00 AM;2;2,4;6;9,8;58;5;0,98;0,24;2,8;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
158;7/12/2020 7:00:00 AM;4;2;Sin medicion;10;Sin medicion;5;0,96;0,18;Sin medicion;Sin medicion;0,35;Sin medicion;Sin medicion;Sin medicion
158;7/12/2020 8:00:00 PM;2;2,6;8;10;59;5,4;10;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
158;7/12/2020 8:00:00 PM;4;1,8;Sin medicion;10,2;Sin medicion;4,8;0,96;1,9;Sin medicion;Sin medicion;3,4;Sin medicion;Sin medicion;Sin medicion
158;7/13/2020 1:00:00 AM;2;2,6;5;9,8;56;5,2;9,6;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
158;7/13/2020 1:00:00 AM;4;1,8;Sin medicion;9,8;Sin medicion;4,8;0,92;1,9;Sin medicion;Sin medicion;3,4;Sin medicion;Sin medicion;Sin medicion
158;7/13/2020 7:00:00 AM;2;2,2;5;9,8;56;5,2;0,96;0,26;2,9;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
158;7/13/2020 7:00:00 AM;4;2;Sin medicion;9,5;Sin medicion;5;0,93;0,16;Sin medicion;Sin medicion;0,34;Sin medicion;Sin medicion;Sin medicion
158;7/13/2020 9:00:00 PM;2;2,8;8;10;60;5,2;1;0,2;2,9;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
158;7/13/2020 9:00:00 PM;4;1,8;Sin medicion;9,8;Sin medicion;5,2;0,96;0,19;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
158;7/14/2020 4:00:00 AM;2;2,8;6;10;60;5,2;1,1;0,2;2,8;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
158;7/14/2020 4:00:00 AM;4;2;Sin medicion;10;Sin medicion;5;1;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
159;7/15/2020 12:00:00 AM;2;3,1;7;10;60;5;1;0,23;2,8;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
159;7/15/2020 12:00:00 AM;4;1,6;Sin medicion;10;Sin medicion;5,2;1;0,18;Sin medicion;Sin medicion;0,35;Sin medicion;Sin medicion;Sin medicion
159;7/15/2020 6:18:58 AM;2;2,2;6;10;60;5,1;1;0,22;0,31;0,31;Sin medicion;30;30;Sin medicion
159;7/15/2020 6:18:58 AM;4;1,8;Sin medicion;9,6;Sin medicion;4,5;0,9;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
159;7/15/2020 12:03:35 PM;2;2,2;7;10;62;5;1,1;0,22;0,3;0,3;Sin medicion;30;30;Sin medicion
159;7/15/2020 12:03:35 PM;4;1,7;Sin medicion;10;Sin medicion;4,5;0,94;0,21;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
159;7/16/2020 7:17:17 AM;2;2,5;6;10,2;61;5;1,1;0,22;0,3;0,3;Sin medicion;30;30;Sin medicion
159;7/16/2020 7:17:17 AM;4;1,6;Sin medicion;10,8;Sin medicion;4,5;0,92;0,2;Sin medicion;Sin medicion;0,32;Sin medicion;Sin medicion;31
159;7/17/2020 7:00:00 AM;2;2,5;6;9,8;57;5,3;9,8;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
159;7/17/2020 7:00:00 AM;4;1,8;Sin medicion;10;Sin medicion;4,8;0,93;1,9;Sin medicion;Sin medicion;3,4;Sin medicion;Sin medicion;Sin medicion
159;7/17/2020 2:00:00 PM;2;2,6;9;10,2;60;5,4;10,2;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
159;7/17/2020 2:00:00 PM;4;1,9;Sin medicion;10,6;Sin medicion;4,9;1;2;Sin medicion;Sin medicion;3,4;Sin medicion;Sin medicion;Sin medicion
159;7/17/2020 7:04:58 PM;2;2,4;6;10,3;60;5;1,2;0,22;0,3;0,3;Sin medicion;30;30;Sin medicion
159;7/17/2020 7:04:58 PM;4;1,9;Sin medicion;10,6;Sin medicion;4,6;0,95;0,22;Sin medicion;Sin medicion;0,32;Sin medicion;Sin medicion;31
160;7/18/2020 1:00:00 PM;2;2,8;8;10;60;5,2;1;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
160;7/18/2020 1:00:00 PM;4;2,1;Sin medicion;10;Sin medicion;5;1;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
160;7/18/2020 4:00:00 PM;2;2,6;9;10,2;60;5,2;10,2;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
160;7/18/2020 4:00:00 PM;4;2,1;Sin medicion;10,8;Sin medicion;5,1;10,1;2,2;Sin medicion;Sin medicion;3,4;Sin medicion;Sin medicion;Sin medicion
160;7/18/2020 8:04:08 PM;2;2,2;6;10,1;62;5,1;1,1;0,22;0,3;0,3;Sin medicion;30;30;Sin medicion
160;7/18/2020 8:04:08 PM;4;1,9;Sin medicion;11;Sin medicion;4,5;0,96;0,22;Sin medicion;Sin medicion;0,32;Sin medicion;Sin medicion;31
160;7/19/2020 8:00:00 AM;2;2,8;8;10;62;5;1,02;0,2;2,9;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
160;7/19/2020 8:00:00 AM;4;2;Sin medicion;10;Sin medicion;5;1;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
160;7/19/2020 1:00:00 PM;2;2,5;9;10,1;60;5,2;10,2;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
160;7/19/2020 1:00:00 PM;4;1,9;Sin medicion;10,5;Sin medicion;4,9;1;2;Sin medicion;Sin medicion;3,4;Sin medicion;Sin medicion;Sin medicion
160;7/19/2020 7:53:09 PM;2;2,4;6;10,6;61;5,3;1,2;0,22;0,31;0,31;Sin medicion;30;30;Sin medicion
160;7/19/2020 7:53:09 PM;4;1,8;Sin medicion;10,6;Sin medicion;4,6;0,92;0,22;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
160;7/20/2020 8:00:00 AM;2;2,8;6;10;60;5,2;1,02;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
160;7/20/2020 8:00:00 AM;4;2;Sin medicion;10;Sin medicion;5;1;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
160;7/20/2020 4:00:00 PM;2;2,5;7;10;60;5,3;1,03;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
160;7/20/2020 4:00:00 PM;4;2;Sin medicion;10;Sin medicion;5;1;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
160;7/20/2020 6:30:00 PM;2;2,6;8;10;59;5,2;10,2;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
160;7/20/2020 6:30:00 PM;4;1,9;Sin medicion;10,4;Sin medicion;4,9;0,97;2;Sin medicion;Sin medicion;3,4;Sin medicion;Sin medicion;Sin medicion
160;7/21/2020 1:00:00 AM;2;2,5;7;9,8;57;5,2;10;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
160;7/21/2020 1:00:00 AM;4;1,9;Sin medicion;10,2;Sin medicion;4,9;0,95;1,9;Sin medicion;Sin medicion;3,4;Sin medicion;Sin medicion;Sin medicion
161;7/21/2020 6:30:00 PM;2;2,6;9;10;60;5,2;10,2;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
161;7/21/2020 6:30:00 PM;4;1,9;Sin medicion;10,4;Sin medicion;4,9;0,97;2;Sin medicion;Sin medicion;3,4;Sin medicion;Sin medicion;Sin medicion
161;7/22/2020 1:00:00 AM;1;2,5;7;9,8;57;5,1;10;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
161;7/22/2020 1:00:00 AM;4;1,9;Sin medicion;10,1;Sin medicion;4,8;0,94;1,9;Sin medicion;Sin medicion;3,4;Sin medicion;Sin medicion;Sin medicion
161;7/22/2020 7:30:00 AM;2;2,4;5;9,8;58;5;0,98;0,26;2,8;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
161;7/22/2020 7:30:00 AM;4;1,5;Sin medicion;10;Sin medicion;4,5;0,95;0,15;Sin medicion;Sin medicion;0,35;Sin medicion;Sin medicion;Sin medicion
161;7/22/2020 6:54:17 PM;2;2,4;6;10,3;62;4,8;1,5;0,22;0,3;0,3;Sin medicion;30;30;Sin medicion
161;7/22/2020 6:54:17 PM;4;2,2;Sin medicion;10,6;Sin medicion;5,3;1,1;0,29;Sin medicion;Sin medicion;0,35;Sin medicion;Sin medicion;31
161;7/23/2020 2:58:11 AM;2;2,5;6;10,6;64;5;1,4;0,23;0,31;0,31;Sin medicion;30;30;Sin medicion
161;7/23/2020 2:58:11 AM;4;2,2;Sin medicion;11;Sin medicion;5;1;0,25;Sin medicion;Sin medicion;0,32;Sin medicion;Sin medicion;31
161;7/23/2020 9:00:00 AM;2;2,58;8;10;60;5;1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
161;7/23/2020 9:00:00 AM;4;2;Sin medicion;10;Sin medicion;5;1;0,5;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
161;7/24/2020 12:00:00 PM;2;2,8;8;10;60;5,3;1;0,23;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
161;7/24/2020 12:00:00 PM;4;2;Sin medicion;10;Sin medicion;5;1,02;0,35;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
162;7/25/2020 4:30:00 PM;2;2,6;9;10;60;5,3;10,2;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
162;7/25/2020 8:00:00 PM;2;2,5;6;10;60;5,2;1;0,2;3;21;Sin medicion;3;Sin medicion;Sin medicion
162;7/25/2020 8:00:00 PM;4;1,5;Sin medicion;9,5;Sin medicion;5;0,96;0,5;Sin medicion;Sin medicion;0,32;Sin medicion;Sin medicion;Sin medicion
