Número de extracción;Fecha;Numero de compresor en servicio;Presión de succión (kg/cm2);Temperatura de succión (°C);Presión de descarga (kg/cm2);Temperatura de descarga (°C);Presión de aceite (kg/cm2);Presión en tanque recibidor (MPa);Presión de acumulador (MPa);Presión en camisa de votator A (kg/cm2);Presión en camisa de votator B (kg/cm2);Presión en camisa de votator C (MPa);Posición bomba triplex 1 (osc/min);Posición bomba triplex 2 (osc/min);Posición bomba triplex 3 (osc/min)
164;8/4/2020 6:30:00 AM;2;2,5;7;9,8;58;5,1;10;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
164;8/4/2020 6:30:00 AM;4;1,9;Sin medicion;10;Sin medicion;4,8;0,94;2;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
165;8/4/2020 1:30:00 PM;2;2,6;10;10;60;5,3;10,2;2,5;3;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
165;8/4/2020 1:30:00 PM;4;2;Sin medicion;10,5;Sin medicion;4,8;0,98;2;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
165;8/4/2020 6:54:41 PM;2;2,3;6;10,3;62;5,2;1,5;0,23;0,29;0,29;Sin medicion;30;30;Sin medicion
165;8/4/2020 6:54:41 PM;4;2;Sin medicion;10;Sin medicion;4,8;1,1;0,23;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
165;8/5/2020 2:28:50 AM;2;2,4;5,2;2,4;6;10,2;62;1,4;0,3;0,3;Sin medicion;30;30;Sin medicion
165;8/5/2020 2:28:50 AM;4;2;Sin medicion;10;Sin medicion;5;1,1;0,25;Sin medicion;Sin medicion;0,32;Sin medicion;Sin medicion;31
165;8/5/2020 7:00:00 AM;2;2,8;8;10;60;5,3;1;0,23;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
165;8/5/2020 7:00:00 AM;4;2;Sin medicion;10;Sin medicion;5,1;0,98;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
165;8/5/2020 7:24:43 PM;2;2,3;6;10,2;64;5,3;1,4;0,22;0,3;0,3;Sin medicion;30;30;Sin medicion
165;8/5/2020 7:24:43 PM;4;2;Sin medicion;10;Sin medicion;5;1,1;0,23;Sin medicion;Sin medicion;0,32;Sin medicion;Sin medicion;31
165;8/6/2020 6:30:00 PM;2;2,4;9;10;60;5,2;10,2;2,4;3;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
165;8/6/2020 6:30:00 PM;4;2;Sin medicion;10,4;Sin medicion;4,8;0,98;2;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
165;8/7/2020 1:00:00 AM;2;2,5;7;10;58;5,2;10,2;2,5;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
165;8/7/2020 1:00:00 AM;4;2;Sin medicion;10;Sin medicion;4,8;0,94;2;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
165;8/7/2020 6:30:00 PM;2;2,6;10;10,3;61;5,2;10,5;2,5;3;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
165;8/7/2020 6:30:00 PM;4;2;Sin medicion;10,7;Sin medicion;4,8;1;2;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
165;8/8/2020 1:00:00 AM;2;2,5;8;10,2;59;5,3;10,3;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
165;8/8/2020 1:00:00 AM;4;2;Sin medicion;10,1;Sin medicion;4,8;0,95;2;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
166;8/8/2020 3:00:00 PM;2;2,5;8;10;63;5;1,03;0,21;3;0,3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
166;8/8/2020 3:00:00 PM;4;2;Sin medicion;10;Sin medicion;5,3;0,98;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
166;8/9/2020 7:30:00 AM;2;4,6;9;10,1;63;5,2;1,03;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
166;8/9/2020 7:30:00 AM;4;2,3;Sin medicion;10;Sin medicion;5,3;0,96;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
166;8/10/2020 8:00:00 AM;2;2,5;9;10;60;5,3;0,1;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
166;8/10/2020 8:00:00 AM;4;2,1;Sin medicion;10;Sin medicion;5,3;0,98;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
166;8/11/2020 6:30:00 AM;2;2,5;6;10;60;5,2;10,2;2,5;3;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
166;8/11/2020 6:30:00 AM;4;2;Sin medicion;10,1;Sin medicion;4,8;0,95;2;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
167;8/11/2020 1:00:00 PM;2;2,7;9;10,2;63;5,3;10,4;2,6;3;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
167;8/11/2020 1:00:00 PM;4;2,2;Sin medicion;10,7;Sin medicion;5;1;2,2;Sin medicion;Sin medicion;3,5;Sin medicion;Sin medicion;Sin medicion
167;8/11/2020 7:00:00 PM;2;2,8;9;10;64;5,3;1,03;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
167;8/11/2020 7:00:00 PM;4;1,9;Sin medicion;10;Sin medicion;5;0,96;0,23;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
167;8/12/2020 7:00:00 AM;2;2,6;6;9,8;61;5,1;10;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
167;8/12/2020 7:00:00 AM;4;2,1;Sin medicion;10,1;Sin medicion;5;0,95;2,2;Sin medicion;Sin medicion;3,4;Sin medicion;Sin medicion;Sin medicion
167;8/12/2020 1:00:00 PM;2;2,7;10;10,2;64;5,3;10,4;2,6;3;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
167;8/12/2020 1:00:00 PM;4;2,2;Sin medicion;10,8;Sin medicion;5;1,01;2,2;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
167;8/12/2020 8:00:00 PM;2;2,8;8;10;63;5,3;1,03;0,2;3;0,3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
167;8/12/2020 8:00:00 PM;4;2,1;Sin medicion;10;Sin medicion;5,1;0,98;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
167;8/13/2020 2:00:00 AM;2;2,8;7;10;60;5,2;0,1;0,96;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
167;8/13/2020 2:00:00 AM;4;2,2;Sin medicion;10;Sin medicion;5,2;0,96;0,2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
167;8/13/2020 6:35:24 AM;2;2,4;6;10,2;64;5,1;1,4;0,22;0,3;0,3;Sin medicion;30;30;Sin medicion
167;8/13/2020 6:35:24 AM;4;2,1;Sin medicion;10;Sin medicion;5;1;0,25;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
167;8/13/2020 6:30:00 PM;2;2,6;9;10,2;62;5,2;10,4;2,5;3;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
167;8/13/2020 6:30:00 PM;4;2;Sin medicion;10,7;Sin medicion;4,8;1;2,1;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
167;8/14/2020 1:00:00 AM;2;2,8;8;10;60;5,3;10,2;2,5;3;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
167;8/14/2020 1:00:00 AM;4;2;Sin medicion;10,2;Sin medicion;4,8;0,95;2;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
167;8/14/2020 7:00:00 AM;2;2,2;5;10;62;5;1;0,22;2,9;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
167;8/14/2020 7:00:00 AM;4;2;Sin medicion;10;Sin medicion;5;0,95;0,18;Sin medicion;Sin medicion;0,35;Sin medicion;Sin medicion;Sin medicion
167;8/14/2020 7:00:00 PM;2;2,7;9;10,2;61;5,2;10,4;2,6;3;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
167;8/14/2020 7:00:00 PM;4;2,1;Sin medicion;10,5;Sin medicion;4,8;0,98;2;Sin medicion;Sin medicion;3,4;Sin medicion;Sin medicion;Sin medicion
167;8/15/2020 1:00:00 AM;1;2,6;8;10;59;5,2;10,2;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
167;8/15/2020 1:00:00 AM;4;2;Sin medicion;10,2;Sin medicion;4,8;0,95;2;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
168;8/15/2020 6:34:58 PM;2;2,4;6;10,3;62;5,1;1,4;2,2;0,31;0,31;Sin medicion;30;30;Sin medicion
168;8/15/2020 6:34:58 PM;4;1,9;Sin medicion;10,2;Sin medicion;5;0,98;0,23;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
168;8/16/2020 2:20:10 AM;2;2,4;6;10,2;60;5,1;1,4;0,22;0,3;0,3;Sin medicion;30;30;Sin medicion
168;8/16/2020 2:20:10 AM;4;2;Sin medicion;10;Sin medicion;5;1;0,24;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
168;8/16/2020 7:40:00 AM;2;2,6;9;10;60;5,3;0,96;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
168;8/16/2020 7:40:00 AM;4;2;Sin medicion;10;Sin medicion;5,1;0,96;0,22;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
168;8/16/2020 8:23:25 AM;2;2,4;6;10,3;62;5,1;1,2;0,22;0,31;0,31;Sin medicion;30;30;Sin medicion
168;8/16/2020 8:23:25 AM;4;2,1;Sin medicion;10,5;Sin medicion;5;1;0,26;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
168;8/17/2020 1:12:46 AM;2;2,35;7;10,4;63;5,3;1,3;0,22;0,3;0,3;Sin medicion;30;30;Sin medicion
168;8/17/2020 1:12:46 AM;4;2,3;Sin medicion;10,5;Sin medicion;5;0,98;0,23;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
168;8/17/2020 7:30:00 AM;2;2,7;9;10;63;5,1;0,1;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
168;8/17/2020 7:30:00 AM;4;2;Sin medicion;10;Sin medicion;5,3;Sin medicion;0,96;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
168;8/17/2020 6:39:21 PM;2;2,4;6;10,5;62;5,3;1,3;0,22;0,3;0,3;Sin medicion;30;30;Sin medicion
168;8/17/2020 6:39:21 PM;4;2,1;Sin medicion;10,6;Sin medicion;4,9;0,99;0,26;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
168;8/18/2020 1:25:37 AM;2;2,4;6;10,3;62;5,2;1,4;0,22;0,3;0,3;Sin medicion;30;30;Sin medicion
168;8/18/2020 1:25:37 AM;4;2,1;Sin medicion;10;Sin medicion;5;1;0,25;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
169;8/18/2020 12:30:00 PM;2;2,8;7;10;60;5,3;1,03;0,2;3;21;Sin medicion;3;Sin medicion;Sin medicion
169;8/18/2020 12:30:00 PM;4;2;Sin medicion;10;Sin medicion;5;0,98;Sin medicion;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
169;8/19/2020 7:00:00 AM;2;2,7;7;10;62;5,2;10,2;2,5;2,9;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
169;8/19/2020 7:00:00 AM;4;1,9;Sin medicion;10,2;Sin medicion;4,8;0,95;2;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
169;8/19/2020 1:00:00 PM;2;2,7;7;10,2;64;5,3;10,4;2,5;3;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
169;8/19/2020 1:00:00 PM;4;1,9;Sin medicion;10,4;Sin medicion;4,8;0,97;2;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
169;8/20/2020 6:30:00 AM;2;2,6;7;10;62;5,2;10,2;2,5;3;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
169;8/20/2020 6:30:00 AM;4;1,8;Sin medicion;1;Sin medicion;4,6;0,94;1,8;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
169;8/20/2020 1:00:00 PM;2;10,2;10;2,7;64;5,3;10,4;2,6;3;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
169;8/20/2020 1:00:00 PM;4;1,8;Sin medicion;10,2;Sin medicion;4,8;0,96;2;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
169;8/20/2020 9:00:00 PM;2;2,6;8;10;68;5,5;1,02;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
169;8/20/2020 9:00:00 PM;4;2;Sin medicion;10;Sin medicion;5,3;0,98;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
170;8/21/2020 1:00:00 PM;2;2,7;10;10,2;64;5,3;10,4;2,6;3;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
170;8/21/2020 1:00:00 PM;4;2;Sin medicion;10,4;Sin medicion;4,8;0,97;2;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
170;8/21/2020 8:00:00 PM;2;2,4;8;10;63;5,3;0,1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
170;8/21/2020 8:00:00 PM;4;2;Sin medicion;10;Sin medicion;5,1;0,96;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
170;8/22/2020 7:00:00 AM;2;2,4;6;10,2;64;5;1,2;0,22;0,3;0,3;Sin medicion;30;30;Sin medicion
170;8/22/2020 7:00:00 AM;4;2;Sin medicion;10;Sin medicion;5;0,98;0,25;Sin medicion;Sin medicion;0,32;Sin medicion;Sin medicion;31
170;8/22/2020 6:30:00 PM;2;2,7;9;10,2;64;5,3;10,4;2,5;3;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
170;8/22/2020 6:30:00 PM;4;1,8;Sin medicion;10,3;Sin medicion;4,7;0,96;1,8;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
170;8/23/2020 1:00:00 AM;2;2,6;8;10;62;5,1;10,2;2,5;3;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
170;8/23/2020 1:00:00 AM;4;1,8;Sin medicion;10;Sin medicion;4,7;0,93;1,8;Sin medicion;Sin medicion;3,3;Sin medicion;Sin medicion;Sin medicion
170;8/23/2020 7:00:00 AM;2;2,4;6;10,2;64;5,1;1,3;0,23;0,3;0,3;Sin medicion;30;30;Sin medicion
170;8/23/2020 7:00:00 AM;4;2;Sin medicion;10;Sin medicion;5;1;0,24;Sin medicion;Sin medicion;0,32;Sin medicion;Sin medicion;31
170;8/23/2020 6:30:00 PM;2;2,8;9;10;62;5,3;10,2;2,6;3;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
170;8/23/2020 6:30:00 PM;4;1,8;Sin medicion;10,2;Sin medicion;4,7;0,96;1,8;Sin medicion;Sin medicion;3,5;Sin medicion;Sin medicion;Sin medicion
170;8/24/2020 1:00:00 AM;2;2,7;7;9,8;60;5,2;10;2,5;3;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
170;8/24/2020 1:00:00 AM;4;1,8;Sin medicion;10;Sin medicion;4,7;0,93;1,8;Sin medicion;Sin medicion;3,5;Sin medicion;Sin medicion;Sin medicion
171;8/25/2020 1:00:00 PM;2;2,6;7;10;64;5,3;0,1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
171;8/25/2020 1:00:00 PM;4;2;Sin medicion;10;Sin medicion;5,1;0,98;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
171;8/25/2020 7:11:34 PM;2;2,4;6;10,3;64;5,2;1,3;0,23;0,31;0,31;Sin medicion;30;30;Sin medicion
171;8/25/2020 7:11:34 PM;4;2;Sin medicion;10,9;Sin medicion;5;0,98;0,26;Sin medicion;Sin medicion;0,32;Sin medicion;Sin medicion;31
171;8/26/2020 1:32:46 AM;2;2,4;6;10,3;62;5,2;1,4;0,21;0,31;0,31;Sin medicion;30;30;Sin medicion
171;8/26/2020 1:32:46 AM;4;2,1;Sin medicion;11;Sin medicion;5,2;1;0,26;Sin medicion;Sin medicion;0,32;Sin medicion;Sin medicion;31
171;8/26/2020 12:30:00 PM;2;2,6;7;10;65;5;0,1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
171;8/26/2020 12:30:00 PM;4;2;Sin medicion;10;Sin medicion;5,2;0,96;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
171;8/27/2020 6:30:00 AM;2;2,6;7;9,8;62;5;10;2,5;3;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
171;8/27/2020 6:30:00 AM;4;1,7;Sin medicion;9,8;Sin medicion;4,6;0,92;1,7;Sin medicion;Sin medicion;3,5;Sin medicion;Sin medicion;Sin medicion
171;8/27/2020 1:00:00 PM;2;2,8;10;10,2;64;5,3;10,4;2,6;3;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
171;8/27/2020 1:00:00 PM;4;1,7;Sin medicion;10,3;Sin medicion;4,6;0,97;1,7;Sin medicion;Sin medicion;3,5;Sin medicion;Sin medicion;Sin medicion
171;8/27/2020 8:30:00 PM;2;2,5;8;10;62;5,3;1,02;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
171;8/27/2020 8:30:00 PM;4;2;Sin medicion;10;Sin medicion;5,3;0,97;0,21;Sin medicion;Sin medicion;26;Sin medicion;Sin medicion;Sin medicion
171;8/28/2020 6:30:00 AM;2;2,6;7;9,8;62;5,2;10;2,5;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
171;8/28/2020 6:30:00 AM;4;2;Sin medicion;10;Sin medicion;4,8;0,94;2;Sin medicion;Sin medicion;3,5;Sin medicion;Sin medicion;Sin medicion
171;8/28/2020 1:00:00 PM;2;2,7;10;10,2;64;5,2;10,4;2,6;3;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
171;8/28/2020 1:00:00 PM;4;1,9;Sin medicion;10,5;Sin medicion;4,8;0,98;1,9;Sin medicion;Sin medicion;3,5;Sin medicion;Sin medicion;Sin medicion
171;8/28/2020 11:00:00 PM;2;2,4;8;10;63;5,2;1,02;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
171;8/28/2020 11:00:00 PM;4;2;Sin medicion;10;Sin medicion;5,3;0,98;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
172;8/29/2020 6:30:00 PM;2;2,23;12;10,7;66;3,1;11,2;6;6,2;6,2;Sin medicion;Sin medicion;Sin medicion;Sin medicion
172;8/29/2020 6:30:00 PM;4;2;Sin medicion;10,2;Sin medicion;4,8;0,95;1,9;Sin medicion;Sin medicion;3,5;Sin medicion;Sin medicion;Sin medicion
172;8/30/2020 1:00:00 AM;1;2;6;9,4;75;4,2;9,7;2,5;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
172;8/30/2020 1:00:00 AM;4;2;Sin medicion;0,98;Sin medicion;4,8;0,92;1,9;Sin medicion;Sin medicion;3,5;Sin medicion;Sin medicion;Sin medicion
172;8/30/2020 7:13:45 AM;1;1,9;7;9,8;78;4,5;1;0,24;0,28;0,28;Sin medicion;30;30;Sin medicion
172;8/30/2020 7:13:45 AM;4;1,8;Sin medicion;9,6;Sin medicion;5;0,95;0,23;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
172;8/30/2020 6:30:00 PM;1;1,8;8;10;78;4,4;10,4;2,5;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
172;8/30/2020 6:30:00 PM;4;2,4;Sin medicion;10,5;Sin medicion;5,2;0,98;2,2;Sin medicion;Sin medicion;3,5;Sin medicion;Sin medicion;Sin medicion
172;8/31/2020 1:00:00 AM;1;1,8;6;9,7;75;4,4;10;2,5;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
172;8/31/2020 1:00:00 AM;4;2,4;Sin medicion;10,2;Sin medicion;5,2;0,94;2,2;Sin medicion;Sin medicion;3,5;Sin medicion;Sin medicion;Sin medicion
172;8/31/2020 7:49:00 AM;1;1,9;7;9,6;78;4,6;1,1;0,21;0,28;0,28;Sin medicion;30;30;Sin medicion
172;8/31/2020 7:49:00 AM;4;2,2;Sin medicion;11;Sin medicion;5;0,98;0,26;Sin medicion;Sin medicion;0,32;Sin medicion;Sin medicion;31
321;1/1/2020 2:05:32 AM;1;1,8;7;9,5;78;5;10,4;2;2,9;2,9;3,1;30;30;31
321;1/1/2020 2:05:32 AM;4;2;Sin medicion;10;Sin medicion;4,2;10,5;Sin medicion;2,9;2,9;3,1;30;30;31
322;1/1/2020 8:00:00 AM;1;2;5;9,8;78;5;0,1;0,2;2,8;2,8;0,3;Sin medicion;Sin medicion;Sin medicion
322;1/1/2020 8:00:00 AM;4;2,3;Sin medicion;10,5;Sin medicion;5,3;1;0,23;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
322;1/1/2020 12:40:00 PM;1;2;8;10;80;5;10,2;0,21;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
322;1/1/2020 12:40:00 PM;4;2,5;Sin medicion;11;Sin medicion;5,5;1,05;0,25;Sin medicion;Sin medicion;0,28;Sin medicion;Sin medicion;Sin medicion
322;1/1/2020 4:49:34 PM;1;2;10;10;74;5,3;1,06;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
322;1/1/2020 4:49:34 PM;4;2,4;Sin medicion;11;Sin medicion;5;1;3;Sin medicion;Sin medicion;0,35;Sin medicion;Sin medicion;Sin medicion
322;1/2/2020 1:00:00 AM;1;1,8;8;10;80;5;10,2;0,21;2,8;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
322;1/2/2020 1:00:00 AM;4;2,5;Sin medicion;11;Sin medicion;5,5;1,05;0,25;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
