Número de extracción;Fecha;Número tanque de residuo;Temperatura final de adición de vapor (°C);Tiempo de adición de vapor (min);Nivel de vacio (in);Claridad final (NTU);pH Inicial;pH final;Concentración licor de residuo (%);Volumen licor de residuo (L);Peso de carnaza de residuo (kg)
071;2019-03-24;2;69,0;1:00;9;45;4,40;4,70;4,4;5825,83;256
071;2019-03-24;1;69,0;1:00;7;22;4,48;4,99;5,2;11437,58;595
071;2019-03-24;2;69,0;1:00;6;35;4,30;5,11;4,2;6139,62;258
072;2019-03-26;1;72,0;1:00;6;30;4,12;4,80;6,8;11525,54;784
072;2019-03-26;2;72,0;1:00;10;12;4,20;5,05;8,9;5721,23;509
072;2019-03-26;1;69,0;1:00;8;44;4,10;4,83;6,4;11349,62;726
072;2019-03-26;2;69,0;1:00;9;24;4,30;4,98;5,2;5825,83;303
073;2019-03-27;1;70,0;1:00;8;22;4,00;4,95;5,2;11349,62;590
073;2019-03-27;2;70,0;1:00;7;78;3,90;4,80;4,9;6035,02;295
073;2019-03-27;2;70,0;1:00;6;51;3,50;4,98;5,8;6139,62;354
073;2019-03-27;2;69,0;1:00;9;57;4,10;4,89;2,8;5825,83;163
073;2019-03-27;2;69,0;1:00;11;16;4,05;5,00;2,9;5616,63;162
074;2019-03-27;1;70,0;1:00;8;28;4,07;4,89;3,9;11349,62;445
074;2019-03-27;2;70,0;1:00;6;67;4,22;5,02;4,9;6139,62;300
074;2019-03-27;2;71,0;1:00;5;92;4,40;4,98;5,0;6244,21;315
074;2019-03-27;1;71,0;1:00;7;42;4,39;4,96;5,2;11437,58;595
074;2019-03-27;1;71,0;1:00;10;22;4,30;4,80;5,6;11173,70;626
074;2019-03-27;2;71,0;1:00;7;25;4,30;5,05;5,6;6035,02;338
075;2019-03-29;1;72,0;1:00;15;27;4,31;4,80;3,3;10733,90;354
075;2019-03-29;2;72,0;1:00;10;78;5,25;5,25;7,4;5721,23;423
075;2019-03-29;1;67,0;1:00;7;24;4,23;4,70;4,7;11437,58;538
075;2019-03-29;2;67,0;1:00;8;53;4,55;5,01;3,7;5930,42;219
075;2019-03-29;1;67,0;1:00;13;48;3,95;5,20;5,1;10909,82;556
075;2019-03-29;2;67,0;1:00;8;36;3,37;4,96;3,7;5930,42;219
076;2019-03-30;1;68,0;1:00;6;9;4,00;5,70;2,3;11525,54;265
076;2019-03-30;2;68,0;1:00;8;30;4,15;5,10;3,5;5930,42;208
076;2019-03-30;1;68,0;1:00;6;35;4,60;4,80;3,2;11525,54;369
076;2019-03-30;1;67,0;1:00;6;18;4,30;4,93;4,6;11525,54;526
076;2019-03-30;2;67,0;1:00;10;16;4,11;4,76;5,2;5721,23;298
077;2019-03-31;2;70,0;1:00;12;30;3,90;5,10;5,0;5512,03;276
077;2019-03-31;1;68,0;1:00;9;25;3,95;4,90;3,9;11261,66;439
077;2019-03-31;1;68,0;1:00;9;26;3,90;4,96;5,3;11261,66;597
077;2019-03-31;2;70,0;1:00;8;26;4,32;5,08;4,9;5930,42;291
077;2019-03-31;1;70,0;1:00;9;21;4,32;5,02;4,8;11261,66;541
078;2019-04-01;1;67,0;1:00;8;19;4,00;4,50;6,0;11349,62;681
078;2019-04-01;2;68,0;0:45;11;24;3,66;4,70;6,0;5616,63;337
078;2019-04-01;1;67,0;1:00;9;30;3,97;4,87;5,6;11261,66;631
078;2019-04-01;2;70,0;1:00;7;47;4,17;5,29;4,0;6035,02;241
078;2019-04-01;2;70,0;1:00;7;28;4,15;4,95;4,9;6035,02;296
078;2019-04-01;1;70,0;1:00;8;28;4,15;4,98;4,9;11349,62;556
079;2019-04-02;1;68,0;1:00;7;68;3,90;4,90;7,3;11437,58;835
079;2019-04-02;2;68,0;1:00;9;64;4,10;4,96;7,5;5825,83;437
079;2019-04-02;2;68,0;1:00;12;48;3,95;5,05;6,5;5512,03;358
079;2019-04-02;1;68,0;1:00;6;56;4,57;5,00;6,7;11525,54;772
080;2019-04-03;1;70,0;1:00;7;41;3,06;5,06;3,9;11437,58;448
080;2019-04-03;2;70,0;1:00;10;54;4,07;4,71;3,9;5721,23;224
080;2019-04-03;1;71,0;2:00;7;58;4,10;4,80;4,0;11437,58;458
080;2019-04-03;1;71,0;2:00;5;48;4,10;4,85;4,0;11613,50;465
081;2019-04-04;1;69,0;1:00;5;29;3,65;4,95;5,7;11613,50;662
081;2019-04-04;2;69,0;1:00;6;48;3,65;5,10;6,1;6139,62;375
081;2019-04-04;2;69,0;1:00;5;33;4,20;4,85;5,3;6244,21;331
081;2019-04-04;2;65,0;1:00;7;59;4,10;4,80;4,9;6035,02;296
081;2019-04-04;1;65,0;1:00;6;32;4,10;5,20;4,9;11525,54;565
081;2019-04-04;2;65,0;1:00;7;59;4,30;4,80;6,4;6035,02;386
082;2019-04-05;2;67,0;1:00;6;34;3,70;4,98;6,2;6139,62;381
082;2019-04-05;1;67,0;1:00;8;27;4,17;4,65;5,5;11349,62;624
082;2019-04-05;1;69,0;1:00;5;29;4,18;4,75;4,5;11613,50;523
082;2019-04-05;2;69,0;1:00;7;64;4,10;5,30;3,4;6035,02;205
083;2019-04-06;2;67,0;1:00;6;51;4,70;4,70;5,3;6139,62;325
083;2019-04-06;1;67,0;1:00;6;22;3,90;4,90;5,2;11525,54;599
083;2019-04-06;1;67,0;1:00;8;22;3,74;4,82;7,6;11349,62;863
083;2019-04-06;2;65,0;1:00;5;35;3,64;4,80;6,0;6244,21;375
083;2019-04-06;1;65,0;1:00;9;61;3,90;5,10;6,5;11261,66;732
084;2019-04-08;1;67,0;1:00;6;20;4,18;4,53;4,8;11525,54;553
084;2019-04-08;2;67,0;1:00;4;27;4,43;4,95;4,0;6348,81;254
084;2019-04-08;2;67,0;1:00;5;58;4,40;4,91;4,8;6244,21;300
084;2019-04-08;1;63,0;1:00;15;22;4,45;4,85;5,1;10733,90;550
084;2019-04-08;2;63,0;1:00;15;25;4,45;5,10;5,1;5198,24;266
085;2019-04-09;1;63,0;1:00;6;28;4,18;5,05;4,0;11525,54;461
085;2019-04-09;2;63,0;1:00;5;42;4,21;4,80;4,8;6244,21;300
085;2019-04-09;2;64,0;1:00;5;57;4,19;4,89;4,6;6244,21;285
085;2019-04-09;1;64,0;1:00;5;72;4,41;5,10;5,1;11613,50;595
086;2019-04-10;2;68,0;1:00;6;45;4,39;4,73;5,9;6139,62;362
086;2019-04-10;1;68,0;1:00;7;23;4,21;4,62;5,1;11437,58;583
086;2019-04-10;1;68,0;1:00;6;38;4,25;4,71;5,6;11525,54;645
086;2019-04-10;2;69,0;1:00;5;35;4,35;4,69;4,6;6244,21;287
086;2019-04-10;1;69,0;1:00;8;25;4,04;4,60;4,0;11349,62;454
086;2019-04-10;2;69,0;1:00;6;32;4,11;4,98;3,3;6139,62;203
087;2019-04-11;2;72,0;1:00;5;51;3,88;5,15;4,8;6244,21;300
087;2019-04-11;1;72,0;1:00;5;35;3,80;4,60;4,8;11613,50;557
087;2019-04-11;2;69,0;1:00;6;12;4,00;4,90;4,0;6139,62;246
087;2019-04-11;1;69,0;1:00;7;84;3,73;5,08;5,6;11437,58;641
087;2019-04-11;2;69,0;1:00;5;50;3,80;4,77;5,6;6244,21;350
088;2019-04-12;1;69,0;1:00;6;32;3,80;5,00;4,3;11525,54;498
088;2019-04-12;2;69,0;1:00;8;47;4,30;5,15;4,9;5930,42;289
088;2019-04-12;2;71,0;1:00;5;43;4,39;5,14;2,4;6244,21;150
088;2019-04-12;1;65,0;1:00;4;61;4,31;4,94;6,8;11701,46;796
088;2019-04-12;1;71,0;1:00;6;36;4,50;5,14;2,8;11525,54;323
088;2019-04-12;2;71,0;1:00;8;24;4,07;4,96;2,9;5930,42;171
089;2019-04-13;1;67,0;1:00;12;40;3,75;5,17;6,5;10997,78;715
089;2019-04-13;2;67,0;1:00;8;49;4,45;5,10;6,6;5930,42;391
089;2019-04-13;1;67,0;1:00;5;29;4,20;4,82;7,6;11613,50;883
089;2019-04-13;2;67,0;1:00;5;32;4,00;4,94;6,9;6244,21;431
089;2019-04-13;2;70,0;1:00;5;54;4,40;4,93;7,8;6244,21;487
089;2019-04-13;1;70,0;1:00;10;48;4,40;4,70;7,8;11173,70;872
089;2019-04-13;2;70,0;1:00;10;42;4,40;4,80;7,8;5721,23;446
090;2019-04-14;2;69,0;1:00;8;35;4,32;5,10;4,2;5930,42;249
090;2019-04-14;1;69,0;1:00;7;61;4,28;4,81;7,7;11437,58;881
090;2019-04-14;2;69,0;1:00;9;18;4,30;4,89;5,2;5825,83;303
090;2019-04-14;1;67,0;1:00;9;39;4,12;4,67;5,3;11261,66;597
090;2019-04-14;2;67,0;1:00;6;53;4,21;4,60;7,5;6139,62;460
090;2019-04-14;2;67,0;1:00;9;34;4,12;5,02;5,5;5825,83;320
091;2019-04-15;1;69,0;1:00;9;30;3,87;5,12;7,3;11261,66;822
091;2019-04-15;2;69,0;1:00;8;38;4,21;4,98;7,0;5930,42;415
091;2019-04-15;2;65,0;1:00;6;49;4,40;4,70;7,5;6139,62;460
091;2019-04-15;1;65,0;1:00;8;22;4,55;5,05;6,5;11349,62;738
091;2019-04-15;2;65,0;1:00;7;34;4,70;4,90;7,3;6035,02;441
092;2019-04-16;1;69,0;1:00;7;44;3,90;4,70;4,0;11437,58;458
092;2019-04-16;2;69,0;1:00;10;31;3,90;4,90;4,0;5721,23;229
092;2019-04-16;1;69,0;1:00;10;29;4,20;4,85;6,0;11173,70;670
092;2019-04-16;1;70,0;1:00;5;22;4,40;5,00;4,9;11613,50;569
093;2019-04-17;2;65,0;1:00;6;36;3,90;4,70;6,8;6139,62;417
093;2019-04-17;1;65,0;1:00;5;38;4,10;4,95;7,5;11613,50;871
093;2019-04-17;2;65,0;1:00;6;52;3,75;5,05;6,3;6139,62;387
093;2019-04-17;1;68,0;1:00;4;32;4,30;4,96;6,0;11701,46;702
093;2019-04-17;2;68,0;1:00;7;73;4,00;5,34;6,0;6035,02;362
093;2019-04-17;2;68,0;1:00;8;43;4,11;5,00;6,5;5930,42;385
094;2019-04-18;1;73,0;1:00;5;77;4,75;5,05;1,9;11613,50;221
094;2019-04-18;2;73,0;1:00;9;20;4,69;5,15;2,5;5825,83;146
094;2019-04-18;1;73,0;1:00;8;41;4,40;4,11;1,7;11349,62;193
094;2019-04-18;2;69,0;1:00;14;84;3,80;6,50;1,2;5302,84;64
095;2019-04-20;1;67,0;1:00;5;29;4,00;4,97;4,0;11613,50;465
095;2019-04-20;2;67,0;1:00;7;38;4,00;4,90;4,0;6035,02;241
095;2019-04-20;1;65,0;2:00;8;36;5,15;5,15;4,9;11349,62;556
096;2019-04-21;1;70,0;1:30;7;65;3,70;4,95;4,8;11437,58;549
096;2019-04-21;2;70,0;1:30;10;50;3,70;4,70;4,8;5721,23;275
096;2019-04-21;1;70,0;1:30;9;15;4,00;4,85;4,8;11261,66;541
096;2019-04-21;2;69,0;1:30;9;40;4,38;4,88;4,0;5825,83;233
096;2019-04-21;2;69,0;1:30;6;35;4,38;5,01;3,8;6139,62;236
096;2019-04-21;2;69,0;1:30;9;68;4,36;4,95;3,9;5825,83;228
096;2019-04-21;2;69,0;1:30;5;44;4,45;5,20;4,1;6244,21;255
097;2019-04-21;2;69,0;1:00;7;40;4,88;4,88;4,9;6035,02;296
097;2019-04-21;1;69,0;1:00;5;56;4,64;4,64;4,0;11613,50;465
097;2019-04-21;1;69,0;2:00;9;58;4,30;4,72;3,8;11261,66;428
097;2019-04-21;2;70,0;2:00;8;46;4,50;4,80;3,7;5930,42;219
097;2019-04-21;2;70,0;2:00;10;60;4,10;4,66;3,0;5721,23;172
098;2019-04-22;1;70,0;0:30;7;38;3,84;4,88;3,5;11437,58;403
098;2019-04-22;1;70,0;0:30;5;41;3,84;4,64;3,2;11613,50;372
098;2019-04-22;2;70,0;0:30;5;71;3,51;5,49;4,1;6244,21;255
098;2019-04-22;1;70,0;1:30;5;67;4,50;4,70;6,7;11613,50;778
098;2019-04-22;2;70,0;1:30;10;68;4,50;4,95;6,0;5721,23;343
099;2019-04-23;2;69,0;1:00;10;45;4,20;5,09;4,5;5721,23;257
099;2019-04-23;1;69,0;1:00;5;27;4,25;4,80;4,5;11613,50;523
099;2019-04-23;2;69,0;1:00;7;18;3,80;4,90;3,7;6035,02;223
099;2019-04-23;1;69,0;1:00;11;57;3,95;4,97;5,7;11085,74;632
100;2019-04-24;1;69,0;1:00;10;34;3,95;4,75;7,1;11173,70;793
100;2019-04-24;2;69,0;1:00;6;38;4,60;4,87;7,1;6139,62;436
100;2019-04-24;1;69,0;1:00;7;89;4,25;4,85;7,3;11437,58;835
101;2019-04-26;1;69,0;1:00;8;75;4,35;4,75;7,2;11349,62;817
101;2019-04-26;2;69,0;1:00;6;20;4,07;4,80;5,1;6139,62;313
101;2019-04-26;2;69,0;1:00;7;20;4,16;5,30;7,9;6035,02;477
101;2019-04-26;1;68,0;1:00;5;69;4,20;4,85;5,1;11613,50;592
101;2019-04-26;2;68,0;1:00;7;31;4,00;4,90;4,7;6035,02;284
101;2019-04-26;1;68,0;1:00;10;22;3,66;4,83;4,2;11173,70;469
101;2019-04-26;2;68,0;1:00;6;28;3,77;4,92;4,2;6139,62;258
102;2019-04-27;1;70,0;2:00;8;45;3,94;4,86;6,8;11349,62;772
102;2019-04-27;2;70,0;2:00;5;27;3,96;5,00;6,4;6244,21;400
102;2019-04-27;1;70,0;2:00;5;10;4,30;5,00;5,6;11613,50;650
102;2019-04-27;2;76,0;13:00;7;27;4,59;5,10;3,0;6035,02;181
102;2019-04-27;2;76,0;13:00;7;62;4,75;4,75;4,0;6035,02;241
102;2019-04-27;2;76,0;13:00;5;50;4,75;4,75;4,0;6244,21;250
103;2019-04-28;2;59,0;1:00;6;75;4,61;5,02;5,0;6139,62;307
103;2019-04-28;1;58,0;1:00;7;25;4,52;4,98;5,8;11437,58;663
103;2019-04-28;2;67,0;1:00;6;51;4,36;4,81;4,0;6139,62;246
103;2019-04-28;1;67,0;1:00;6;40;4,32;4,67;2,7;11525,54;311
103;2019-04-28;2;67,0;1:00;7;35;4,32;5,03;2,6;6035,02;157
103;2019-04-28;2;67,0;1:00;6;20;4,32;5,30;2,6;6139,62;160
104;2019-04-29;2;69,0;1:00;7;57;4,35;4,85;4,2;6035,02;253
104;2019-04-29;1;69,0;1:00;8;50;3,91;4,80;4,2;11349,62;477
104;2019-04-29;2;69,0;1:00;5;46;4,70;4,90;4,1;6244,21;256
104;2019-04-29;1;69,0;1:00;6;79;4,33;4,85;4,5;11525,54;519
104;2019-04-29;1;69,0;1:00;7;74;4,20;5,10;13,0;11437,58;1.487
105;2019-04-30;1;57,0;1:00;5;49;4,15;4,85;4,3;11613,50;499
105;2019-04-30;2;66,0;1:00;4;35;3,85;5,02;5,0;6348,81;317
105;2019-04-30;1;57,0;1:00;6;25;4,20;5,30;3,5;11525,54;403
105;2019-04-30;2;66,0;1:00;8;41;4,15;5,30;4,3;5930,42;255
106;2019-05-01;1;56,0;1:00;7;17;3,90;4,41;1,6;11437,58;183
106;2019-05-01;2;56,0;1:00;8;47;3,85;4,70;2,8;5930,42;166
106;2019-05-01;2;62,0;1:00;9;63;3,80;5,40;1,6;5825,83;93
106;2019-05-01;1;62,0;1:00;12;38;3,90;5,10;2,8;10997,78;308
106;2019-05-01;2;62,0;1:00;10;15;3,95;4,90;2,7;5721,23;156
107;2019-05-03;1;74,0;1:00;5;25;3,92;4,94;4,4;11613,50;511
107;2019-05-03;2;74,0;1:00;5;24;3,85;5,10;4,4;6244,21;275
107;2019-05-03;1;74,0;1:00;3;71;3,85;4,70;7,0;11789,42;825
107;2019-05-03;1;74,0;1:00;5;25;3,85;4,90;4,5;11613,50;523
108;2019-05-04;1;69,0;1:00;7;79;4,65;4,80;4,4;11437,58;503
108;2019-05-04;2;69,0;1:00;6;63;4,52;5,20;7,2;6139,62;442
108;2019-05-04;1;69,0;1:00;8;38;4,50;4,98;4,2;11349,62;477
108;2019-05-04;2;69,0;1:00;5;60;4,55;5,30;4,5;6244,21;281
108;2019-05-04;1;69,0;1:00;6;41;4,00;5,15;4,7;11525,54;542
108;2019-05-04;2;69,0;1:00;4;27;3,99;5,10;6,7;6348,81;425
109;2019-05-05;1;70,0;1:00;6;25;4,70;4,80;4,6;11525,54;530
109;2019-05-05;2;70,0;1:00;10;55;4,77;4,77;6,4;5721,23;366
109;2019-05-05;1;68,0;1:00;9;20;4,36;4,69;6,2;11261,66;698
109;2019-05-05;2;68,0;1:00;7;27;4,25;4,45;4,3;6035,02;260
109;2019-05-05;1;68,0;1:00;15;76;4,28;4,57;4,3;10733,90;462
110;2019-05-06;1;70,0;1:00;10;20;4,03;5,00;5,8;11173,70;648
110;2019-05-06;2;70,0;1:00;8;31;3,65;4,77;6,8;5930,42;403
110;2019-05-06;1;69,0;1:00;8;34;3,82;5,00;5,8;11349,62;658
110;2019-05-06;2;69,0;1:00;6;76;4,40;4,99;5,4;6139,62;332
111;2019-05-07;1;70,0;1:00;9;38;4,00;4,89;5,6;11261,66;631
111;2019-05-07;2;70,0;1:00;5;41;4,24;4,85;5,0;6244,21;310
111;2019-05-07;1;69,0;1:00;11;14;3,80;5,15;3,4;11085,74;381
111;2019-05-07;2;69,0;1:00;7;14;3,70;4,80;3,0;6035,02;183
112;2019-05-08;1;65,0;1:00;9;36;4,42;4,88;3,6;11261,66;405
112;2019-05-08;2;65,0;1:00;8;38;4,42;5,24;3,6;5930,42;213
112;2019-05-08;2;64,0;0:50;8;41;4,39;5,01;3,6;5930,42;213
113;2019-05-08;1;65,0;1:00;9;36;4,42;4,88;3,6;11261,66;405
113;2019-05-08;2;65,0;1:00;8;38;4,,42;5,24;3,6;5930,42;213
113;2019-05-08;2;65,0;1:00;8;41;4,39;5,01;3,7;5930,42;218
113;2019-05-08;1;70,0;0:50;7;31;4,05;4,70;4,0;11437,58;458
113;2019-05-08;2;70,0;0:50;10;54;3,85;4,80;3,6;5721,23;206
113;2019-05-08;2;70,0;0:50;7;21;4,05;4,70;6,4;6035,02;386
114;2019-05-09;1;69,0;1:00;15;52;4,40;4,80;5,5;10733,90;590
114;2019-05-09;2;69,0;1:00;6;45;4,24;4,78;5,2;6139,62;319
114;2019-05-09;1;69,0;1:00;8;14;4,00;5,00;9,5;11349,62;1.078
114;2019-05-09;2;68,0;1:00;7;22;3,90;4,80;6,2;6035,02;374
114;2019-05-09;2;52,0;0:15;20;26;4,72;5,60;5,6;4675,26;262
114;2019-05-09;1;41,0;0:15;14;36;4,20;4,96;1,9;10821,86;206
114;2019-05-09;2;52,0;0:15;18;80;5,00;5,00;2,5;4884,45;122
115;2019-05-11;1;68,0;1:00;5;18;4,03;5,30;4,8;11613,50;557
115;2019-05-11;2;68,0;1:00;6;28;4,00;4,80;4,5;6139,62;276
115;2019-05-11;1;68,0;1:00;15;26;4,30;4,95;5,0;10733,90;537
115;2019-05-11;2;67,0;1:00;20;13;4,34;5,30;6,5;4675,26;304
115;2019-05-11;1;67,0;1:00;6;81;3,18;5,00;3,9;11525,54;449
116;2019-05-12;1;70,0;1:00;10;43;4,71;4,83;6,7;11173,70;749
116;2019-05-12;2;70,0;1:00;10;70;4,71;4,81;5,8;5721,23;332
116;2019-05-12;1;70,0;1:00;9;33;4,62;4,62;4,4;11261,66;496
116;2019-05-12;2;76,0;1:00;7;41;4,06;4,67;5,0;6035,02;302
116;2019-05-12;1;76,0;1:00;5;42;4,11;4,67;5,4;11578,31;625
116;2019-05-12;2;76,0;1:00;15;71;4,32;5,30;1,7;5198,24;88
116;2019-05-12;2;68,0;0:40;20;40;5,46;5,46;1,6;4675,26;75
117;2019-05-13;1;70,0;1:00;7;39;4,31;4,62;5,9;11437,58;675
117;2019-05-13;2;70,0;1:00;9;52;4,42;4,71;5,1;5825,83;297
117;2019-05-13;2;67,0;1:00;7;37;4,32;5,15;7,1;6035,02;428
117;2019-05-13;1;67,0;1:00;8;27;4,33;4,59;7,5;11349,62;851
117;2019-05-13;2;70,0;1:00;5;69;4,80;4,10;6,0;6244,21;375
118;2019-05-14;2;70,0;1:00;6;78;4,96;4,96;3,8;6139,62;231
118;2019-05-14;1;70,0;1:00;8;79;5,00;5,00;4,0;11349,62;454
118;2019-05-14;1;70,0;1:00;8;62;4,15;5,20;2,9;11349,62;327
118;2019-05-14;2;70,0;1:00;7;41;4,00;5,15;4,0;6035,02;241
118;2019-05-14;1;65,0;1:00;10;184;5,00;5,00;3,9;11173,70;438
118;2019-05-14;2;67,0;1:00;12;66;4,35;5,00;4,0;5512,03;220
118;2019-05-14;2;67,0;1:00;12;172;4,90;4,90;3,4;5512,03;185
118;2019-05-14;1;67,0;1:00;5;147;4,85;4,85;3,2;11613,50;372
119;2019-05-15;1;70,0;1:00;8;42;4,43;5,66;1,6;11349,62;182
119;2019-05-15;2;70,0;1:00;6;87;4,44;5,76;1,4;6139,62;88
119;2019-05-15;2;70,0;1:00;5;64;4,51;5,33;2,8;6244,21;175
119;2019-05-15;1;74,0;1:00;7;49;4,40;4,70;3,2;11437,58;366
119;2019-05-15;2;64,0;1:00;9;39;3,70;4,90;2,0;5825,83;117
119;2019-05-15;2;74,0;1:00;3;20;4,24;5,10;3,3;6453,41;212
120;2019-05-16;2;68,0;1:00;6;35;4,70;4,90;4,2;6139,62;255
120;2019-05-16;1;68,0;1:00;8;46;4,52;4,94;4,1;11349,62;463
120;2019-05-16;2;68,0;1:00;5;66;3,97;5,01;3,6;6244,21;225
120;2019-05-16;1;71,0;1:30;7;59;3,65;4,90;6,2;11437,58;714
120;2019-05-16;1;71,0;1:30;9;78;3,70;4,88;5,8;11261,66;649
120;2019-05-16;2;70,0;1:00;8;80;4,40;4,86;1,3;5930,42;76
121;2019-05-17;1;72,0;1:00;15;38;4,12;5,00;4,9;10733,90;524
121;2019-05-17;2;72,0;1:00;10;81;3,60;5,20;6,5;5721,23;371
121;2019-05-17;2;70,0;1:00;12;29;4,50;4,98;6,5;5512,03;357
121;2019-05-17;1;70,0;1:00;5;85;4,30;4,80;4,8;11613,50;557
121;2019-05-17;2;57,0;1:00;2;51;4,30;4,80;4,8;6558,01;315
121;2019-05-17;1;57,0;1:00;10;56;4,30;4,90;6,4;11173,70;715
122;2019-05-19;1;42,0;1:00;7;76;4,38;5,60;3,3;11437,58;373
122;2019-05-20;2;70,0;1:00;8;32;4,37;4,89;1,8;5930,42;104
122;2019-05-21;1;42,0;1:00;10;31;3,71;4,71;3,4;11173,70;375
122;2019-05-22;2;70,0;0:50;8;22;3,68;4,74;3,2;5930,42;193
122;2019-05-23;2;70,0;0:50;10;21;3,50;4,70;5,6;5721,23;320
122;2019-05-24;2;70,0;0:50;10;20;3,70;4,85;6,4;5721,23;366
123;2019-05-20;1;72,0;1:00;8;56;3,98;4,98;4,4;11349,62;499
123;2019-05-20;2;72,0;1:00;3;60;5,43;5,43;6,4;6453,41;413
123;2019-05-20;1;72,0;1:00;7;58;4,41;5,40;5,8;11437,58;663
123;2019-05-20;1;69,0;1:00;5;43;4,05;4,75;8,5;11613,50;987
123;2019-05-20;2;69,0;1:00;4;45;4,00;4,65;3,7;6348,81;235
123;2019-05-20;2;51,0;0:15;8;43;4,50;4,95;8,2;5930,42;486
124;2019-05-21;2;61,0;1:00;10;52;4,07;4,86;5,0;5721,23;284
124;2019-05-21;1;61,0;1:00;10;18;4,65;4,88;5,9;11173,70;661
124;2019-05-21;2;65,0;0:50;12;12;3,90;4,15;4,0;5512,03;220
124;2019-05-21;1;61,0;1:00;7;18;3,89;4,10;4,4;11437,58;503
124;2019-05-21;2;60,0;1:00;6;32;4,00;4,71;4,4;6139,62;270
124;2019-05-21;1;61,0;1:00;8;76;3,38;4,82;3,4;11349,62;390
124;2019-05-21;2;60,0;1:00;10;44;3,42;5,12;4,0;5721,23;229
125;2019-05-22;2;69,0;1:00;6;32;3,79;5,18;5,0;6139,62;307
125;2019-05-22;1;70,0;1:00;7;49;4,50;5,99;4,5;11437,58;515
125;2019-05-22;2;69,0;1:00;3;45;4,38;5,18;6,0;6453,41;387
125;2019-05-22;2;83,0;1:00;8;31;4,10;5,06;7,1;5930,42;421
125;2019-05-23;2;83,0;1:00;5;10;4,00;4,70;4,0;6244,21;250
125;2019-05-23;2;62,0;0:30;10;68;4,40;4,90;3,4;5721,23;195
126;2019-05-24;1;72,0;1:00;6;58;4,62;6,09;4,0;11525,54;461
126;2019-05-24;2;69,0;1:00;16;42;4,46;4,81;4,2;5093,64;214
126;2019-05-24;1;74,0;1:00;5;18;4,30;4,80;6,0;11613,50;697
126;2019-05-24;2;62,0;0:30;7;56;4,30;4,75;7,0;6035,02;422
127;2019-05-24;2;68,0;1:00;5;31;3,52;4,97;4,4;6244,21;275
127;2019-05-24;1;68,0;1:00;4;59;2,85;4,65;1,6;11701,46;187
127;2019-05-24;2;72,0;1:00;4;35;4,12;5,10;4,8;6348,81;305
127;2019-05-24;2;65,0;1:00;8;44;4,40;4,93;5,3;5930,42;313
127;2019-05-24;1;80,0;1:00;7;64;4,42;4,51;5,3;11437,58;604
128;2019-05-26;1;71,0;1:30;8;35;4,12;4,53;4,4;11349,62;499
128;2019-05-26;2;71,0;2:00;8;53;4,12;4,71;4,0;5930,42;237
128;2019-05-26;2;77,0;1:00;6;45;4,33;5,12;7,0;6139,62;430
128;2019-05-26;2;77,0;1:00;7;31;4,33;5,06;6,1;6035,02;368
128;2019-05-26;2;77,0;1:00;5;33;4,58;4,87;6,9;6244,21;431
129;2019-05-27;1;69,0;1:00;8;12;3,85;4,85;5,1;11349,62;579
129;2019-05-27;2;69,0;1:00;5;19;3,90;4,70;5,5;6244,21;343
129;2019-05-27;1;60,0;1:00;5;14;3,75;4,67;4,1;11613,50;476
129;2019-05-27;2;60,0;1:00;7;45;4,09;4,80;2,8;6035,02;169
129;2019-05-27;1;60,0;1:00;4;44;4,23;4,85;4,0;11701,46;468
130;2019-05-28;2;71,0;1:00;10;34;4,70;4,70;4,4;5721,23;252
130;2019-05-28;1;71,0;1:00;8;26;3,85;5,60;4,3;11349,62;490
130;2019-05-28;2;71,0;1:00;9;38;4,05;5,30;4,9;5825,83;284
130;2019-05-28;1;72,0;1:00;6;28;4,35;4,93;5,0;11525,54;581
130;2019-05-28;2;72,0;1:00;6;29;4,34;4,90;4,8;6139,62;295
130;2019-05-28;1;72,0;1:00;6;52;4,46;5,32;2,4;11525,54;277
132;2019-05-30;1;69,0;1:00;16;32;3,74;5,10;5,8;10645,94;617
132;2019-05-30;2;69,0;1:00;7;30;3,91;4,78;6,2;6035,02;374
132;2019-05-30;2;69,0;1:00;8;59;3,84;4,87;6,0;5930,42;356
132;2019-05-30;1;71,0;1:00;5;65;3,92;4,97;6,5;11613,50;755
132;2019-05-30;2;71,0;1:00;6;67;3,47;5,32;6,0;6139,62;368
133;2019-05-31;1;72,0;1:00;7;66;4,36;4,90;6,3;11437,58;723
133;2019-05-31;2;72,0;1:00;8;71;4,42;4,61;5,8;5930,42;342
133;2019-05-31;2;72,0;1:00;5;53;4,40;4,68;5,4;6244,21;335
133;2019-05-31;1;61,0;1:00;6;37;4,38;5,12;3,6;11525,54;415
133;2019-05-31;2;61,0;1:00;5;80;4,38;5,19;2,6;6244,21;165
133;2019-05-31;1;61,0;1:00;6;50;4,39;6,00;2,8;11525,54;323
134;2019-06-01;1;68,0;1:00;10;38;3,37;3,80;5,6;11173,70;626
134;2019-06-01;2;65,0;1:00;12;13;3,80;4,00;5,0;5512,03;278
134;2019-06-01;1;63,0;1:00;10;31;4,19;4,82;3,0;11173,70;331
134;2019-06-01;2;63,0;1:00;9;25;4,19;4,75;3,2;5825,83;189
134;2019-06-01;2;69,0;1:00;9;72;4,33;4,58;6,6;5825,83;382
135;2019-06-03;2;67,0;1:00;9;71;4,37;5,16;6,2;5825,83;361
